,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
2,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
3,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
4,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
5,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
6,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
7,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
8,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
9,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
10,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
11,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
12,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
13,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
14,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
15,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
16,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
17,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
18,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
19,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
20,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
21,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
22,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
23,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
24,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
25,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
26,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
27,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
28,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
29,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
30,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
31,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
